date,code,close,volumn,return,change,marketcap
2023-08-22,601857,7.73,1169790,2.25,0.17,13872.99
2023-08-23,601857,7.75,878244,0.26,0.02,14184.13
2023-08-24,601857,7.66,818382,-1.16,-0.09,14184.13
2023-08-25,601857,7.71,746050,0.65,0.05,14184.13
2023-08-28,601857,7.83,1779257,1.56,0.12,14184.13
2023-08-29,601857,7.75,1106741,-1.02,-0.08,14184.13
2023-08-30,601857,7.76,939485,0.13,0.01,14184.13
2023-08-31,601857,7.75,962461,-0.13,-0.01,14184.13
2023-09-01,601857,7.76,1029252,0.13,0.01,14184.13
2023-09-04,601857,7.95,1574662,2.45,0.19,14184.13
2023-09-05,601857,7.95,924979,0,0,14184.13
2023-09-06,601857,8.08,1564053,1.64,0.13,14184.13
2023-09-07,601857,8.24,1623638,1.98,0.16,14184.13
2023-09-08,601857,8.06,1038510,-2.18,-0.18,14184.13
2023-09-11,601857,8.13,1067282,0.87,0.07,14184.13
2023-09-12,601857,8.1,877928,-0.37,-0.03,14824.7
2023-09-13,601857,8.27,1377366,2.1,0.17,14824.7
2023-09-14,601857,8.34,1502515,0.85,0.07,14824.7
2023-09-15,601857,8.29,2033961,-0.6,-0.05,14824.7
2023-09-18,601857,8.23,1669064,-0.72,-0.06,14824.7
2023-09-19,601857,8.32,1178341,1.09,0.09,14824.7
2023-09-20,601857,8.12,1267612,-2.4,-0.2,14824.7
2023-09-21,601857,7.99,1063015,-1.6,-0.13,14824.7
2023-09-22,601857,8.11,1111403,1.5,0.12,14843
2023-09-25,601857,8,1215911,-1.36,-0.11,14843
2023-09-26,601857,7.98,891332,-0.25,-0.02,14843
2023-09-27,601857,8,754604,0.25,0.02,14843
2023-09-28,601857,7.98,1250172,-0.25,-0.02,14843
2023-10-09,601857,7.91,1806692,-0.88,-0.07,14843
2023-10-10,601857,7.79,989316,-1.52,-0.12,14843
2023-10-11,601857,7.66,989973,-1.67,-0.13,14843
2023-10-12,601857,7.67,826176,0.13,0.01,14037.71
2023-10-13,601857,7.67,936652,0,0,14037.71
2023-10-16,601857,7.8,1314717,1.69,0.13,14037.71
2023-10-17,601857,7.93,1085745,1.67,0.13,14037.71
2023-10-18,601857,7.98,970317,0.63,0.05,14037.71
2023-10-19,601857,7.74,1198459,-3.01,-0.24,14037.71
2023-10-20,601857,7.69,858745,-0.65,-0.05,14037.71
2023-10-23,601857,7.57,864694,-1.56,-0.12,14037.71
2023-10-24,601857,7.76,1187572,2.51,0.19,14037.71
2023-10-25,601857,7.33,2208269,-5.54,-0.43,14037.71
2023-10-26,601857,7.45,1181437,1.64,0.12,14037.71
2023-10-27,601857,7.42,949549,-0.4,-0.03,14037.71
2023-10-30,601857,7.13,2413078,-3.91,-0.29,14037.71
2023-10-31,601857,7.12,1570334,-0.14,-0.01,14037.71
2023-11-01,601857,7.16,1217491,0.56,0.04,13104.3
2023-11-02,601857,7.25,1176057,1.26,0.09,13104.3
2023-11-03,601857,7.33,1068222,1.1,0.08,13104.3
2023-11-06,601857,7.09,2630123,-3.27,-0.24,13104.3
2023-11-07,601857,7.09,1663974,0,0,13104.3
2023-11-08,601857,7.03,1016303,-0.85,-0.06,13104.3
2023-11-09,601857,7.09,1029000,0.85,0.06,13104.3
2023-11-10,601857,7.08,716987,-0.14,-0.01,13104.3
2023-11-13,601857,7.14,839485,0.85,0.06,13104.3
2023-11-14,601857,7.1,697239,-0.56,-0.04,13104.3
2023-11-15,601857,7.18,834143,1.13,0.08,13104.3
2023-11-16,601857,7.13,501107,-0.7,-0.05,13104.3
2023-11-17,601857,7.04,1080657,-1.26,-0.09,13104.3
2023-11-20,601857,7.1,843360,0.85,0.06,13104.3
2023-11-21,601857,7.13,953629,0.42,0.03,13049.4
2023-11-22,601857,7.12,577260,-0.14,-0.01,13049.4
2023-11-23,601857,7.11,604763,-0.14,-0.01,13049.4
2023-11-24,601857,7.12,527176,0.14,0.01,13049.4
2023-11-27,601857,7.13,852578,0.14,0.01,13049.4
2023-11-28,601857,7.07,853113,-0.84,-0.06,13049.4
2023-11-29,601857,7.06,1013495,-0.14,-0.01,13049.4
2023-11-30,601857,7.18,1543681,1.7,0.12,13049.4
2023-12-01,601857,7.18,981647,0,0,13140.91
2023-12-04,601857,7.2,778993,0.28,0.02,13140.91
2023-12-05,601857,7.06,737555,-1.94,-0.14,13140.91
2023-12-06,601857,6.81,1874733,-3.54,-0.25,13140.91
2023-12-07,601857,6.78,1049996,-0.44,-0.03,13140.91
2023-12-08,601857,6.87,1162015,1.33,0.09,13140.91
2023-12-11,601857,6.86,1135475,-0.15,-0.01,12555.24
2023-12-12,601857,6.91,837792,0.73,0.05,12555.24
2023-12-13,601857,6.76,906688,-2.17,-0.15,12555.24
2023-12-14,601857,6.75,590997,-0.15,-0.01,12555.24
2023-12-15,601857,6.73,717703,-0.3,-0.02,12555.24
2023-12-18,601857,6.76,587152,0.45,0.03,12555.24
2023-12-19,601857,6.77,604562,0.15,0.01,12555.24
2023-12-20,601857,6.77,773174,0,0,12555.24
2023-12-21,601857,6.77,647116,0,0,12390.52
2023-12-22,601857,6.83,937392,0.89,0.06,12390.52
2023-12-25,601857,6.92,794727,1.32,0.09,12390.52
2023-12-26,601857,6.99,949538,1.01,0.07,12390.52
2023-12-27,601857,7.12,1077890,1.86,0.13,12390.52
2023-12-28,601857,7.06,1167205,-0.84,-0.06,12390.52
2023-12-29,601857,7.06,1188541,0,0,12390.52
2019-01-02,300015,24.62,207739,-6.39,-1.68,
2019-01-03,300015,24.8,99983,0.73,0.18,
2019-01-04,300015,25.7,146947,3.63,0.9,
2019-01-07,300015,26,142320,1.17,0.3,619.68
2019-01-08,300015,25.9,63680,-0.38,-0.1,619.68
2019-01-09,300015,26.13,95246,0.89,0.23,619.68
2019-01-10,300015,26.27,82163,0.54,0.14,619.68
2019-01-11,300015,25.95,69273,-1.22,-0.32,619.68
2019-01-14,300015,25.69,84278,-1,-0.26,619.68
2019-01-15,300015,26.3,122019,2.37,0.61,619.68
2019-01-16,300015,26.89,130355,2.24,0.59,640.89
2019-01-17,300015,26.72,85282,-0.63,-0.17,640.89
2019-01-18,300015,27,115901,1.05,0.28,640.89
2019-01-21,300015,27.43,149318,1.59,0.43,640.89
2019-01-22,300015,26.84,70580,-2.15,-0.59,640.89
2019-01-23,300015,26.9,40811,0.22,0.06,640.89
2019-01-24,300015,26.72,91219,-0.67,-0.18,640.89
2019-01-25,300015,26.81,88944,0.34,0.09,638.98
2019-01-28,300015,27.1,109227,1.08,0.29,638.98
2019-01-29,300015,27.46,98172,1.33,0.36,638.98
2019-01-30,300015,27.17,58370,-1.06,-0.29,638.98
2019-01-31,300015,27.16,117151,-0.04,-0.01,638.98
2019-02-01,300015,28.27,173014,4.09,1.11,638.98
2019-02-11,300015,29.05,119031,2.76,0.78,638.98
2019-02-12,300015,29.22,104505,0.59,0.17,696.42
2019-02-13,300015,29.83,124350,2.09,0.61,696.42
2019-02-14,300015,29.7,78920,-0.44,-0.13,696.42
2019-02-15,300015,29.69,128708,-0.03,-0.01,696.42
2019-02-18,300015,31.56,159900,6.3,1.87,696.42
2019-02-19,300015,31.82,152442,0.82,0.26,696.42
2019-02-20,300015,31.28,113112,-1.7,-0.54,696.42
2019-02-21,300015,31.3,92583,0.06,0.02,746
2019-02-22,300015,31.58,82926,0.89,0.28,746
2019-02-25,300015,32.49,160433,2.88,0.91,746
2019-02-26,300015,32.16,191386,-1.02,-0.33,746
2019-02-27,300015,31,188627,-3.61,-1.16,746
2019-02-28,300015,32.17,160989,3.77,1.17,746
2019-03-01,300015,33.14,175887,3.02,0.97,746
2019-03-04,300015,33.15,254638,0.03,0.01,746
2019-03-05,300015,32.82,164042,-1,-0.33,746
2019-03-06,300015,32.96,146354,0.43,0.14,746
2019-03-07,300015,31.86,174783,-3.34,-1.1,746
2019-03-08,300015,30.69,173228,-3.67,-1.17,746
2019-03-11,300015,31.94,143345,4.07,1.25,761.25
2019-03-12,300015,31.75,136729,-0.59,-0.19,761.25
2019-03-13,300015,31.35,140105,-1.26,-0.4,761.25
2019-03-14,300015,31.41,125832,0.19,0.06,761.25
2019-03-15,300015,32.22,156813,2.58,0.81,761.25
2019-03-18,300015,33.44,202623,3.79,1.22,761.25
2019-03-19,300015,32.68,174368,-2.27,-0.76,761.25
2019-03-20,300015,32.59,97301,-0.28,-0.09,776.74
2019-03-21,300015,32.3,105099,-0.89,-0.29,776.74
2019-03-22,300015,32.26,97334,-0.12,-0.04,776.74
2019-03-25,300015,31.49,99549,-2.39,-0.77,776.74
2019-03-26,300015,31.27,80100,-0.7,-0.22,776.74
2019-03-27,300015,32.44,129609,3.74,1.17,776.74
2019-03-28,300015,32.43,93777,-0.03,-0.01,776.74
2019-03-29,300015,34,231550,4.84,1.57,810.35
2019-04-01,300015,34.38,182245,1.12,0.38,810.35
2019-04-02,300015,33.82,132690,-1.63,-0.56,810.35
2019-04-03,300015,33.8,87358,-0.06,-0.02,810.35
2019-04-04,300015,33.6,87422,-0.59,-0.2,810.35
2019-04-08,300015,33.21,107242,-1.16,-0.39,810.35
2019-04-09,300015,34.5,158847,3.88,1.29,810.35
2019-04-10,300015,34.32,134722,-0.52,-0.18,810.35
2019-04-11,300015,33.07,122590,-3.64,-1.25,810.35
2019-04-12,300015,33.69,88893,1.87,0.62,810.35
2019-04-15,300015,32.8,142423,-2.64,-0.89,810.35
2019-04-16,300015,33.4,101504,1.83,0.6,796.05
2019-04-17,300015,33.76,123061,1.08,0.36,796.05
2019-04-18,300015,33.69,59305,-0.21,-0.07,796.05
2019-04-19,300015,33.78,43302,0.27,0.09,796.05
2019-04-22,300015,34.46,129650,2.01,0.68,796.05
2019-04-23,300015,34.15,112636,-0.9,-0.31,796.05
2019-04-24,300015,34.92,102520,2.25,0.77,796.05
2019-04-25,300015,35.73,239967,2.32,0.81,851.58
2019-04-26,300015,36.07,203378,0.95,0.34,851.58
2019-04-29,300015,37.09,215106,2.83,1.02,851.58
2019-04-30,300015,37.33,121356,0.65,0.24,851.58
2019-05-06,300015,34.5,245417,-7.58,-2.83,851.58
2019-05-07,300015,36.8,217604,6.67,2.3,851.58
